"id","temp_humidity","temp_pressure","pressure","humidity","pitch","roll","yaw","compass_x","compass_y","compass_z","acc_x","acc_y","acc_z","gyro_x","gyro_y","gyro_z","capture_time","capture_timestamp","status","comment"
"70","36.9352","36.7896","1013.08","34.9978","104.775","0.946428","358.194","-18.3919","-5.59946","-27.1341","0.0165099","0.0312755","0.999401","-0.00533753","-0.00154496","0.00332729","2015-12-08 14:52:05","1449557525963","Synced","Still"
"71","36.8632","36.7917","1013.09","34.8843","104.526","0.946428","358.208","-18.7062","-5.59311","-27.2139","0.0174811","0.031518","0.999157","-0.00685871","-0.00332674","0.00396767","2015-12-08 14:52:06","1449557526162","Synced","Still"
"72","36.8812","36.8375","1013.06","36.3279","104.532","0.988175","358.374","-18.1833","-5.36436","-26.817","0.0267072","0.0167288","0.938477","-0.122629","-0.153499","0.000474695","2015-12-08 14:53:29","1449557609630","Synced","Normal Walk"
"73","36.8992","36.8312","1013.06","34.9359","104.269","0.0919848","357.508","-18.5313","-5.87087","-26.7347","0.0369045","0.0128496","1.05838","0.0211885","0.046917","0.00350059","2015-12-08 14:53:29","1449557609841","Synced","Normal Walk"
"74","36.8812","36.8271","1013.06","34.5956","105.138","1.22382","358.348","-18.5837","-5.66533","-27.132","0.0252504","0.0353971","0.939695","-0.00106894","-0.000148416","0.013077","2015-12-08 14:53:30","1449557610043","Synced","Normal Walk"
"75","36.9352","36.8354","1013.07","34.5819","102.542","359.873","356.613","-18.3302","-5.69218","-26.9708","0.0405464","0.0155165","1.00233","-0.0335218","-0.020538","0.0875256","2015-12-08 14:53:30","1449557610254","Synced","Normal Walk"
"76","36.8272","36.8312","1013.05","34.6438","104.939","1.54317","357.836","-18.4007","-5.75201","-26.8777","0.0104401","-0.0118481","1.00159","0.03124","0.0223387","0.0496174","2015-12-08 14:53:30","1449557610454","Synced","Normal Walk"
"77","36.9892","36.8354","1013.07","35.0012","107.788","2.48214","359.568","-17.8174","-5.55023","-26.1843","0.0417603","0.0126072","0.997207","-0.0129853","-0.0196229","0.00914781","2015-12-08 14:53:30","1449557610711","Synced","Normal Walk"
"78","36.9172","36.8292","1013.06","35.0734","107.303","3.44283","359.304","-18.1423","-5.48134","-26.427","0.0568135","0.0143043","0.999401","0.0132472","-0.0156967","-0.137609","2015-12-08 14:53:30","1449557610943","Synced","Normal Walk"
"79","36.8992","36.8333","1013.06","35.1765","97.1978","6.99729","352.955","-18.5789","-5.45583","-26.4047","0.0895905","0.0972208","0.993796","0.0984629","-0.170246","-1.47266","2015-12-08 14:53:31","1449557611159","Synced","Normal Walk"
"80","36.9172","36.8312","1013.06","35.6715","105.821","9.56491","355.41","-23.3592","-7.66022","-25.0707","-0.00578942","-0.0236962","0.959922","-1.1642","-0.105799","0.0496209","2015-12-08 14:53:31","1449557611367","Synced","Normal Walk"
"81","36.9352","36.8271","1013.07","34.8328","111.496","2.00357","1.28675","-23.8237","-8.44053","-25.3911","0.0344765","-0.0207342","0.999644","-0.00772025","-0.0033571","0.00190065","2015-12-08 14:53:31","1449557611589","Synced","Normal Walk"
"82","36.9712","36.8333","1013.07","35.8296","110.22","358.982","2.824","-23.9449","-7.76078","-25.4596","0.0271928","0.0152741","0.992334","-0.0405089","0.0267584","-1.57223","2015-12-08 14:53:31","1449557611806","Synced","Normal Walk"
"83","36.8992","36.8292","1013.07","34.9703","97.7632","2.43739","0.481278","-19.7105","-2.30491","-26.2715","0.0599698","0.0215777","1.00915","-0.00171896","0.0124031","-0.504739","2015-12-08 14:53:32","1449557612009","Synced","Normal Walk"
"84","36.8812","36.8333","1013.07","36.218","90.1484","358.507","359.291","-20.287","-0.370089","-26.0432","-0.0484864","-0.015057","1.01183","-0.240873","0.0460007","-2.19195","2015-12-08 14:53:32","1449557612219","Synced","Normal Walk"
"85","36.9172","36.8354","1013.08","34.6644","72.6211","355.811","358.736","-11.0659","3.49382","-24.6452","-0.0709204","-0.067633","1.00671","-0.512402","0.00843249","-3.24355","2015-12-08 14:53:32","1449557612422","Synced","Normal Walk"
"86","36.8812","36.8396","1013.08","35.479","49.2406","0.569701","359.972","-1.23161","0.847479","-23.6384","0.127709","-0.0419621","1.00427","0.157106","-0.224307","-0.757027","2015-12-08 14:53:32","1449557612631","Synced","Normal Walk"
"87","36.9352","36.8396","1013.07","35.0047","206.8","356.967","1.09882","1.59358","-0.235883","-23.5105","0.00485585","0.0307906","1.03864","-0.618387","0.782399","0.0105255","2015-12-08 14:53:32","1449557612838","Synced","Normal Walk"
"88","36.9892","36.8417","1013.06","35.3621","305.046","2.92917","358.427","1.10937","0.977292","-23.5195","-0.0115788","0.00630359","0.998182","-0.0878914","0.210092","-0.0274839","2015-12-08 14:53:33","1449557613042","Synced","Normal Walk"
"89","36.9532","36.8396","1013.06","34.3069","271.459","8.43389","359.727","0.714825","-0.00656978","-25.784","0.143248","0.0814618","0.95846","-0.103733","-0.133594","-0.292158","2015-12-08 14:53:33","1449557613248","Synced","Normal Walk"
